Panel A: First-Year College GPA,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,,,,,,(0.077)
310655                                  ,,,,,,-0.316***
                                        ,,,,,,(0.091)
310667                                  ,,,,,,0.064
                                        ,,,,,,(0.107)
310677                                  ,,,,,,-0.284*
                                        ,,,,,,(0.141)
310678                                  ,,,,,,-0.254**
                                        ,,,,,,(0.081)
310690                                  ,,,,,,0.003
                                        ,,,,,,(0.071)
310693                                  ,,,,,,0.171*
                                        ,,,,,,(0.069)
310694                                  ,,,,,,-0.084
                                        ,,,,,,(0.052)
310695                                  ,,,,,,-0.442***
                                        ,,,,,,(0.088)
310698                                  ,,,,,,-0.481***
                                        ,,,,,,(0.089)
310700                                  ,,,,,,-0.056
                                        ,,,,,,(0.100)
310704                                  ,,,,,,0.270**
                                        ,,,,,,(0.083)
310705                                  ,,,,,,0.230***
                                        ,,,,,,(0.039)
310710                                  ,,,,,,-0.223*
                                        ,,,,,,(0.092)
310730                                  ,,,,,,-0.379*
                                        ,,,,,,(0.161)
310740                                  ,,,,,,0.013
                                        ,,,,,,(0.126)
310742                                  ,,,,,,0.044
                                        ,,,,,,(0.061)
310743                                  ,,,,,,-0.193*
                                        ,,,,,,(0.078)
310745                                  ,,,,,,-0.179
                                        ,,,,,,(0.181)
310749                                  ,,,,,,-0.334***
                                        ,,,,,,(0.099)
310750                                  ,,,,,,-0.084
                                        ,,,,,,(0.065)
310752                                  ,,,,,,0.138***
                                        ,,,,,,(0.037)
310753                                  ,,,,,,0.100**
                                        ,,,,,,(0.034)
310755                                  ,,,,,,-0.254***
                                        ,,,,,,(0.062)
310758                                  ,,,,,,-0.497***
                                        ,,,,,,(0.080)
310759                                  ,,,,,,-0.129*
                                        ,,,,,,(0.055)
310761                                  ,,,,,,0.131**
                                        ,,,,,,(0.047)
310762                                  ,,,,,,-0.011
                                        ,,,,,,(0.048)
310763                                  ,,,,,,-0.007
                                        ,,,,,,(0.075)
310765                                  ,,,,,,-0.002
                                        ,,,,,,(0.070)
310780                                  ,,,,,,-0.345**
                                        ,,,,,,(0.128)
310782                                  ,,,,,,-0.196*
                                        ,,,,,,(0.099)
310785                                  ,,,,,,-0.126*
                                        ,,,,,,(0.060)
310787                                  ,,,,,,0.092***
                                        ,,,,,,(0.028)
310790                                  ,,,,,,-0.377***
                                        ,,,,,,(0.089)
310791                                  ,,,,,,-0.011
                                        ,,,,,,(0.049)
310792                                  ,,,,,,-0.287***
                                        ,,,,,,(0.065)
310793                                  ,,,,,,-0.134
                                        ,,,,,,(0.069)
310795                                  ,,,,,,0.413***
                                        ,,,,,,(0.052)
310801                                  ,,,,,,0.004
                                        ,,,,,,(0.066)
310802                                  ,,,,,,0.000
                                        ,,,,,,(.)
310820                                  ,,,,,,-0.075
                                        ,,,,,,(0.066)
310823                                  ,,,,,,0.086
                                        ,,,,,,(0.089)
310825                                  ,,,,,,0.240***
                                        ,,,,,,(0.057)
310826                                  ,,,,,,0.058
                                        ,,,,,,(0.049)
310840                                  ,,,,,,-0.010
                                        ,,,,,,(0.076)
310855                                  ,,,,,,-0.040
                                        ,,,,,,(0.105)
310865                                  ,,,,,,-0.163**
                                        ,,,,,,(0.063)
310868                                  ,,,,,,-0.360***
                                        ,,,,,,(0.088)
310870                                  ,,,,,,-0.202**
                                        ,,,,,,(0.069)
310904                                  ,,,,,,-0.164***
                                        ,,,,,,(0.037)
310932                                  ,,,,,,0.052
                                        ,,,,,,(0.065)
310933                                  ,,,,,,-0.164
                                        ,,,,,,(0.119)
310979                                  ,,,,,,-0.390***
                                        ,,,,,,(0.041)
310985                                  ,,,,,,0.049
                                        ,,,,,,(0.087)
310995                                  ,,,,,,-0.337***
                                        ,,,,,,(0.074)
310997                                  ,,,,,,-0.126
                                        ,,,,,,(0.111)
310998                                  ,,,,,,-0.247***
                                        ,,,,,,(0.034)
310999                                  ,,,,,,0.194*
                                        ,,,,,,(0.094)
311012                                  ,,,,,,-0.298***
                                        ,,,,,,(0.049)
311017                                  ,,,,,,-0.131
                                        ,,,,,,(0.084)
311019                                  ,,,,,,-0.028
                                        ,,,,,,(0.040)
311020                                  ,,,,,,-0.323***
                                        ,,,,,,(0.081)
311029                                  ,,,,,,-0.255**
                                        ,,,,,,(0.097)
311035                                  ,,,,,,0.090
                                        ,,,,,,(0.067)
311039                                  ,,,,,,-0.099
                                        ,,,,,,(0.073)
311041                                  ,,,,,,0.293***
                                        ,,,,,,(0.071)
311043                                  ,,,,,,-0.121
                                        ,,,,,,(0.080)
311045                                  ,,,,,,-0.205**
                                        ,,,,,,(0.077)
311051                                  ,,,,,,-0.017
                                        ,,,,,,(0.059)
311052                                  ,,,,,,-0.117**
                                        ,,,,,,(0.038)
311054                                  ,,,,,,0.002
                                        ,,,,,,(0.058)
311067                                  ,,,,,,-0.288**
                                        ,,,,,,(0.092)
311069                                  ,,,,,,0.153*
                                        ,,,,,,(0.074)
311071                                  ,,,,,,-0.487***
                                        ,,,,,,(0.080)
311073                                  ,,,,,,-0.147*
                                        ,,,,,,(0.061)
311078                                  ,,,,,,-0.036
                                        ,,,,,,(0.069)
311079                                  ,,,,,,0.121**
                                        ,,,,,,(0.042)
311120                                  ,,,,,,0.097
                                        ,,,,,,(0.052)
311165                                  ,,,,,,0.006
                                        ,,,,,,(0.060)
311185                                  ,,,,,,-0.176
                                        ,,,,,,(0.100)
311200                                  ,,,,,,0.076
                                        ,,,,,,(0.080)
311231                                  ,,,,,,0.114*
                                        ,,,,,,(0.055)
311232                                  ,,,,,,0.181***
                                        ,,,,,,(0.039)
311250                                  ,,,,,,-0.017
                                        ,,,,,,(0.076)
311252                                  ,,,,,,0.063
                                        ,,,,,,(0.090)
311255                                  ,,,,,,0.163**
                                        ,,,,,,(0.055)
311277                                  ,,,,,,-0.003
                                        ,,,,,,(0.039)
311280                                  ,,,,,,-0.357***
                                        ,,,,,,(0.100)
311290                                  ,,,,,,0.203**
                                        ,,,,,,(0.076)
311293                                  ,,,,,,0.094
                                        ,,,,,,(0.099)
311300                                  ,,,,,,-0.269**
                                        ,,,,,,(0.085)
311303                                  ,,,,,,-0.368***
                                        ,,,,,,(0.106)
311305                                  ,,,,,,-0.270*
                                        ,,,,,,(0.114)
311310                                  ,,,,,,0.051
                                        ,,,,,,(0.060)
311316                                  ,,,,,,-0.126
                                        ,,,,,,(0.076)
311320                                  ,,,,,,-0.134*
                                        ,,,,,,(0.068)
311321                                  ,,,,,,-0.066
                                        ,,,,,,(0.064)
311326                                  ,,,,,,-0.065
                                        ,,,,,,(0.056)
311330                                  ,,,,,,-0.311***
                                        ,,,,,,(0.084)
311335                                  ,,,,,,0.111
                                        ,,,,,,(0.114)
311340                                  ,,,,,,-0.114
                                        ,,,,,,(0.082)
311349                                  ,,,,,,-0.274***
                                        ,,,,,,(0.083)
311351                                  ,,,,,,-0.327***
                                        ,,,,,,(0.080)
311353                                  ,,,,,,-0.039
                                        ,,,,,,(0.063)
311355                                  ,,,,,,-0.125**
                                        ,,,,,,(0.041)
311359                                  ,,,,,,0.268***
                                        ,,,,,,(0.038)
311360                                  ,,,,,,-0.064
                                        ,,,,,,(0.055)
311362                                  ,,,,,,-0.237*
                                        ,,,,,,(0.103)
311364                                  ,,,,,,-0.289**
                                        ,,,,,,(0.092)
311365                                  ,,,,,,0.048
                                        ,,,,,,(0.046)
311367                                  ,,,,,,-0.017
                                        ,,,,,,(0.076)
311371                                  ,,,,,,-0.128
                                        ,,,,,,(0.099)
311376                                  ,,,,,,-0.138
                                        ,,,,,,(0.088)
311377                                  ,,,,,,-0.147
                                        ,,,,,,(0.076)
311381                                  ,,,,,,-0.246*
                                        ,,,,,,(0.108)
311383                                  ,,,,,,-0.182
                                        ,,,,,,(0.101)
311390                                  ,,,,,,-0.316**
                                        ,,,,,,(0.115)
311400                                  ,,,,,,0.148**
                                        ,,,,,,(0.048)
311405                                  ,,,,,,-0.190*
                                        ,,,,,,(0.084)
311408                                  ,,,,,,-0.008
                                        ,,,,,,(0.141)
311410                                  ,,,,,,-0.044
                                        ,,,,,,(0.084)
311412                                  ,,,,,,-0.074
                                        ,,,,,,(0.053)
311415                                  ,,,,,,-0.014
                                        ,,,,,,(0.075)
311420                                  ,,,,,,0.456***
                                        ,,,,,,(0.078)
311445                                  ,,,,,,-0.161*
                                        ,,,,,,(0.079)
