Panel C: First-to-Second Year Retention,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,,,,,,(1.077)
310730                                  ,,,,,,-1.906**
                                        ,,,,,,(0.584)
310740                                  ,,,,,,-1.593**
                                        ,,,,,,(0.571)
310742                                  ,,,,,,-1.047
                                        ,,,,,,(0.571)
310743                                  ,,,,,,-2.380***
                                        ,,,,,,(0.519)
310745                                  ,,,,,,-0.434
                                        ,,,,,,(1.090)
310749                                  ,,,,,,-1.905***
                                        ,,,,,,(0.548)
310750                                  ,,,,,,-0.911
                                        ,,,,,,(0.510)
310752                                  ,,,,,,-0.193
                                        ,,,,,,(0.413)
310753                                  ,,,,,,-0.668*
                                        ,,,,,,(0.335)
310755                                  ,,,,,,-1.615***
                                        ,,,,,,(0.441)
310758                                  ,,,,,,-1.558
                                        ,,,,,,(0.825)
310759                                  ,,,,,,-1.452*
                                        ,,,,,,(0.571)
310761                                  ,,,,,,-0.272
                                        ,,,,,,(0.654)
310762                                  ,,,,,,-0.287
                                        ,,,,,,(0.558)
310763                                  ,,,,,,-1.169*
                                        ,,,,,,(0.517)
310765                                  ,,,,,,-1.436*
                                        ,,,,,,(0.570)
310780                                  ,,,,,,-2.151***
                                        ,,,,,,(0.535)
310782                                  ,,,,,,-2.159***
                                        ,,,,,,(0.532)
310785                                  ,,,,,,-1.038*
                                        ,,,,,,(0.468)
310787                                  ,,,,,,-0.341
                                        ,,,,,,(0.291)
310790                                  ,,,,,,-1.634***
                                        ,,,,,,(0.456)
310791                                  ,,,,,,0.298
                                        ,,,,,,(1.047)
310792                                  ,,,,,,-1.469**
                                        ,,,,,,(0.537)
310793                                  ,,,,,,-0.459
                                        ,,,,,,(0.764)
310795                                  ,,,,,,-0.562
                                        ,,,,,,(0.566)
310801                                  ,,,,,,-0.306
                                        ,,,,,,(0.777)
310802                                  ,,,,,,0.000
                                        ,,,,,,(.)
310820                                  ,,,,,,-1.277**
                                        ,,,,,,(0.472)
310823                                  ,,,,,,-0.818
                                        ,,,,,,(0.660)
310825                                  ,,,,,,0.543
                                        ,,,,,,(0.978)
310826                                  ,,,,,,-0.027
                                        ,,,,,,(0.639)
310840                                  ,,,,,,-0.581
                                        ,,,,,,(0.771)
310855                                  ,,,,,,0.000
                                        ,,,,,,(.)
310865                                  ,,,,,,-1.270*
                                        ,,,,,,(0.497)
310868                                  ,,,,,,-2.259***
                                        ,,,,,,(0.490)
310870                                  ,,,,,,-0.922
                                        ,,,,,,(0.761)
310904                                  ,,,,,,0.000
                                        ,,,,,,(.)
310932                                  ,,,,,,-1.203**
                                        ,,,,,,(0.443)
310933                                  ,,,,,,-1.695**
                                        ,,,,,,(0.573)
310979                                  ,,,,,,-1.033**
                                        ,,,,,,(0.344)
310985                                  ,,,,,,0.000
                                        ,,,,,,(.)
310995                                  ,,,,,,-1.436***
                                        ,,,,,,(0.397)
310997                                  ,,,,,,-2.002***
                                        ,,,,,,(0.494)
310998                                  ,,,,,,-0.943**
                                        ,,,,,,(0.306)
310999                                  ,,,,,,-0.907
                                        ,,,,,,(0.770)
311012                                  ,,,,,,-1.211**
                                        ,,,,,,(0.370)
311017                                  ,,,,,,-0.517
                                        ,,,,,,(0.641)
311019                                  ,,,,,,-0.393
                                        ,,,,,,(0.382)
311020                                  ,,,,,,-1.066
                                        ,,,,,,(0.673)
311029                                  ,,,,,,0.000
                                        ,,,,,,(.)
311035                                  ,,,,,,-1.406**
                                        ,,,,,,(0.447)
311039                                  ,,,,,,-0.818
                                        ,,,,,,(0.555)
311041                                  ,,,,,,0.150
                                        ,,,,,,(1.050)
311043                                  ,,,,,,-0.885
                                        ,,,,,,(0.763)
311045                                  ,,,,,,-2.345***
                                        ,,,,,,(0.505)
311051                                  ,,,,,,-0.239
